<s>5 - 5 = 0<e>
<s>9 + 44 = 53<e>
<s>64 - 39 = 25<e>
<s>0 + 22 = 22<e>
<s>13 + 24 = 37<e>
<s>23 + 35 = 58<e>
<s>5 + 1 = 6<e>
<s>11 + 15 = 26<e>
<s>10 + 19 = 29<e>
<s>15 + 20 = 35<e>
<s>54 - 22 = 32<e>
<s>79 - 19 = 60<e>
<s>0 + 4 = 4<e>
<s>2 + 58 = 60<e>
<s>51 + 38 = 89<e>
<s>4 + 4 = 8<e>
<s>29 + 36 = 65<e>
<s>22 - 13 = 9<e>
<s>62 - 11 = 51<e>
<s>4 + 4 = 8<e>
<s>12 + 30 = 42<e>
<s>68 + 20 = 88<e>
<s>59 - 29 = 30<e>
<s>8 - 4 = 4<e>
<s>12 + 14 = 26<e>
<s>34 + 40 = 74<e>
<s>23 - 16 = 7<e>
<s>81 - 37 = 44<e>
<s>66 + 19 = 85<e>
<s>97 - 82 = 15<e>
<s>35 - 10 = 25<e>
<s>2 - 2 = 0<e>
<s>61 - 2 = 59<e>
<s>95 - 89 = 6<e>
<s>3 - 3 = 0<e>
<s>30 - 27 = 3<e>
<s>1 + 2 = 3<e>
<s>53 + 36 = 89<e>
<s>67 - 47 = 20<e>
<s>10 + 18 = 28<e>
<s>93 - 42 = 51<e>
<s>21 - 8 = 13<e>
<s>3 + 29 = 32<e>
<s>38 - 16 = 22<e>
<s>0 - 0 = 0<e>
<s>2 + 0 = 2<e>
<s>3 + 7 = 10<e>
<s>43 - 30 = 13<e>
<s>26 - 11 = 15<e>
<s>45 - 26 = 19<e>
<s>50 - 40 = 10<e>
<s>39 + 40 = 79<e>
<s>91 - 6 = 85<e>
<s>2 + 5 = 7<e>
<s>17 + 7 = 24<e>
<s>18 + 45 = 63<e>
<s>51 - 5 = 46<e>
<s>41 + 36 = 77<e>
<s>26 + 17 = 43<e>
<s>22 + 38 = 60<e>
<s>54 - 46 = 8<e>
<s>73 - 19 = 54<e>
<s>15 + 10 = 25<e>
<s>51 - 31 = 20<e>
<s>14 + 81 = 95<e>
<s>74 - 51 = 23<e>
<s>17 + 30 = 47<e>
<s>62 - 18 = 44<e>
<s>79 - 75 = 4<e>
<s>21 + 21 = 42<e>
<s>72 - 69 = 3<e>
<s>3 + 22 = 25<e>
<s>23 + 10 = 33<e>
<s>46 - 10 = 36<e>
<s>18 - 5 = 13<e>
<s>21 - 5 = 16<e>
<s>0 + 0 = 0<e>
<s>7 + 1 = 8<e>
<s>39 - 26 = 13<e>
<s>94 - 34 = 60<e>
<s>5 - 5 = 0<e>
<s>0 - 0 = 0<e>
<s>72 - 26 = 46<e>
<s>4 + 1 = 5<e>
<s>28 - 9 = 19<e>
<s>30 + 44 = 74<e>
<s>35 - 17 = 18<e>
<s>38 - 15 = 23<e>
<s>75 - 26 = 49<e>
<s>33 + 60 = 93<e>
<s>33 - 14 = 19<e>
<s>6 - 3 = 3<e>
<s>57 - 4 = 53<e>
<s>30 - 23 = 7<e>
<s>58 - 28 = 30<e>
<s>14 + 4 = 18<e>
<s>69 - 15 = 54<e>
<s>91 - 8 = 83<e>
<s>6 + 35 = 41<e>
<s>45 + 3 = 48<e>
