<s>13 + 7 = 20<e>
<s>55 + 29 = 84<e>
<s>9 + 14 = 23<e>
<s>43 - 30 = 13<e>
<s>48 + 11 = 59<e>
<s>11 + 0 = 11<e>
<s>9 - 4 = 5<e>
<s>21 - 2 = 19<e>
<s>54 - 52 = 2<e>
<s>75 - 2 = 73<e>
<s>57 + 24 = 81<e>
<s>11 + 4 = 15<e>
<s>16 + 40 = 56<e>
<s>1 + 17 = 18<e>
<s>12 + 8 = 20<e>
<s>84 + 14 = 98<e>
<s>105 - 52 = 53<e>
<s>110 - 4 = 106<e>
<s>39 + 4 = 43<e>
<s>86 - 33 = 53<e>
<s>74 - 51 = 23<e>
<s>5 + 88 = 93<e>
<s>55 - 24 = 31<e>
<s>69 + 23 = 92<e>
<s>94 - 14 = 80<e>
<s>42 + 35 = 77<e>
<s>95 - 53 = 42<e>
<s>0 + 66 = 66<e>
<s>76 - 50 = 26<e>
<s>46 + 26 = 72<e>
<s>18 + 61 = 79<e>
<s>11 - 2 = 9<e>
<s>87 - 38 = 49<e>
<s>86 - 37 = 49<e>
<s>113 - 23 = 90<e>
<s>9 + 18 = 27<e>
<s>14 + 1 = 15<e>
<s>44 + 9 = 53<e>
<s>105 + 4 = 109<e>
<s>8 + 7 = 15<e>
<s>89 - 64 = 25<e>
<s>25 - 13 = 12<e>
<s>67 + 42 = 109<e>
<s>14 - 9 = 5<e>
<s>64 - 51 = 13<e>
<s>88 - 31 = 57<e>
<s>109 - 75 = 34<e>
<s>48 - 37 = 11<e>
<s>3 - 2 = 1<e>
<s>25 + 32 = 57<e>
<s>84 + 5 = 89<e>
<s>6 - 2 = 4<e>
<s>5 - 3 = 2<e>
<s>27 + 48 = 75<e>
<s>65 - 44 = 21<e>
<s>16 + 1 = 17<e>
<s>9 + 48 = 57<e>
<s>0 + 51 = 51<e>
<s>4 - 4 = 0<e>
<s>10 + 11 = 21<e>
<s>5 + 96 = 101<e>
<s>13 + 5 = 18<e>
<s>19 + 19 = 38<e>
<s>20 + 12 = 32<e>
<s>47 - 4 = 43<e>
<s>0 + 0 = 0<e>
<s>58 + 34 = 92<e>
<s>101 - 86 = 15<e>
<s>19 + 68 = 87<e>
<s>9 - 7 = 2<e>
<s>90 - 19 = 71<e>
<s>107 - 75 = 32<e>
<s>7 - 3 = 4<e>
<s>13 + 55 = 68<e>
<s>87 - 55 = 32<e>
<s>35 - 34 = 1<e>
<s>28 + 26 = 54<e>
<s>77 - 3 = 74<e>
<s>35 - 21 = 14<e>
<s>26 + 14 = 40<e>
<s>67 - 14 = 53<e>
<s>56 - 28 = 28<e>
<s>9 + 3 = 12<e>
<s>20 + 80 = 100<e>
<s>0 + 0 = 113<e>
<s>12 + 64 = 76<e>
<s>7 + 2 = 9<e>
<s>14 - 1 = 13<e>
<s>0 + 52 = 52<e>
<s>63 + 26 = 89<e>
<s>24 - 14 = 10<e>
<s>82 - 47 = 35<e>
<s>1 + 8 = 9<e>
<s>0 - 0 = 0<e>
<s>3 + 43 = 46<e>
<s>50 + 27 = 77<e>
<s>107 - 94 = 13<e>
<s>29 + 64 = 93<e>
<s>42 - 35 = 7<e>
<s>47 - 16 = 31<e>
<s>26 + 8 = 34<e>
<s>41 + 42 = 83<e>
<s>2 + 6 = 8<e>
<s>55 - 24 = 31<e>
<s>41 - 6 = 35<e>
<s>59 - 3 = 56<e>
<s>5 - 4 = 1<e>
<s>112 - 49 = 63<e>
<s>58 + 33 = 91<e>
<s>70 - 65 = 5<e>
<s>53 + 17 = 70<e>
<s>28 - 7 = 21<e>
<s>4 + 97 = 101<e>
<s>38 - 5 = 33<e>
<s>59 - 50 = 9<e>
<s>53 + 0 = 53<e>
<s>29 - 14 = 15<e>
<s>46 - 22 = 24<e>
<s>73 - 1 = 72<e>
<s>111 - 12 = 99<e>
<s>5 - 2 = 3<e>
<s>85 - 34 = 51<e>
<s>39 + 62 = 101<e>
<s>15 - 1 = 14<e>
<s>33 - 24 = 9<e>
<s>29 + 15 = 44<e>
<s>51 - 28 = 23<e>
<s>53 + 33 = 86<e>
<s>13 + 28 = 41<e>
<s>21 + 32 = 53<e>
<s>30 + 20 = 50<e>
<s>78 - 75 = 3<e>
<s>15 + 59 = 74<e>
<s>1 + 52 = 53<e>
<s>86 - 9 = 77<e>
